Reading MCP3008 values, press Ctrl-C to quit...
|    0 |    1 |    2 |    3 |    4 |    5 |    6 |    7 |
---------------------------------------------------------
|    0 |    0 |  720 |    0 |    0 |    0 |    0 |    0 |
|    0 |    0 |  459 |    0 |    0 |    0 |    0 |    1 |
|    0 |    0 |  501 |    0 |    0 |    1 |    0 |    4 |
|    0 |   13 |  295 |   27 |   35 |   51 |   51 |   70 |
|  110 |   51 |  203 |   46 |   55 |   81 |  102 |  170 |
|  225 |   61 |  203 |   71 |  117 |  145 |  164 |  206 |
|  205 |   47 |  205 |   53 |   81 |  104 |  127 |  219 |
|  214 |   49 |  191 |   55 |   84 |  105 |  129 |  218 |
|  214 |   50 |  208 |   57 |   85 |  108 |  131 |  219 |
|  177 |   55 |  213 |   72 |  116 |  138 |  142 |  157 |
|  101 |   18 |  207 |   17 |   37 |   48 |   47 |   64 |
|   64 |    0 |  228 |    0 |    4 |   22 |   29 |   70 |
|    0 |    0 |  139 |    0 |   28 |   42 |   20 |    0 |
|    0 |    0 |  167 |    0 |    0 |    3 |    4 |   27 |
|    0 |    0 |  154 |    0 |    0 |    0 |    0 |    0 |
|    0 |   56 |  859 |   63 |   17 |   24 |   11 |    0 |
|    0 |   24 |  924 |   22 |   10 |   31 |   43 |   93 |
|  103 |   58 | 1001 |   70 |   61 |   92 |  131 |  249 |
|  238 |   59 |  969 |   61 |  101 |  131 |  160 |  245 |
|  272 |   49 | 1005 |   65 |  114 |  142 |  168 |  234 |
|  275 |   47 | 1014 |   61 |  110 |  137 |  161 |  226 |
|  270 |   47 | 1017 |   58 |  106 |  132 |  154 |  220 |
|  254 |   32 | 1015 |   34 |   71 |   86 |   92 |  118 |
|   59 |    0 | 1004 |    0 |    0 |    0 |    0 |    0 |
|    0 |   11 | 1019 |   16 |   21 |   26 |   12 |    0 |
|    0 |    0 | 1019 |    0 |    0 |    0 |    0 |    0 |
|    0 |    0 | 1020 |    0 |    0 |    0 |    0 |    0 |
|    0 |    0 |  922 |    0 |    0 |    6 |    0 |    3 |
|    0 |   24 |  885 |   39 |   43 |   61 |   66 |   90 |
|  120 |   55 |  881 |   60 |   62 |  100 |  135 |  249 |
|  221 |   47 |  881 |   48 |   96 |  125 |  155 |  245 |
|  273 |   49 |  888 |   66 |  117 |  145 |  169 |  231 |
|  266 |   37 |  880 |   53 |  107 |  137 |  161 |  223 |
|  246 |   23 |  881 |   37 |   96 |  125 |  151 |  221 |
